"id_member";"member_name";"member_surname";"member_phone";"member_email";"member_address";"member_province";"member_state"
"29617596904";"Kuzey";"Tekinoðlu";"(0555)-9159893";"kuzey4@gmail.com";"Tevfik Paþa Sk. No:7, Fenerbahçe, 34726 Kadýköy/Ýstanbul";"Istanbul";"Kadýköy"
"29620352122";"Emrah";"Küçüþ";"(0535)-8218503";"emrah@hotmail.com.tr";"Ertuðrul Gazi Cd. 51-49, Güzelyurt, 34515 Beylikdüzü Osb/Esenyurt/Ýstanbul";"Istanbul";"Esenyurt"
"30748498104";"Aslý";"Çetin";"(0535)-3087260";"aslý@gmail.com";"Marmara Cd., Kavaklý, 34520 Beylikdüzü Osb/Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"31789830144";"Cansu";"Gerek";"(0572)-2621045";"cansu@gmail.com";"Reyhan Sk. 2-12, Hürriyet, 34876 Kartal/Ýstanbul";"Istanbul";"Kartal"
"33164816866";"Leyla";"Nur";"(0545)-9689228";"nur@gmail.com";"Ada Sokak, Güzeltepe, 34680 Üsküdar/Ýstanbul";"Istanbul";"Üsküdar"
"33188647774";"Adnan";"Kese";"(0578)-4565432";"adnanvade@hotmail.com.tr";"Beylikbaðý Fatih Cami, Beylikbaðý Fatih Mah., Gebze Merkez, Gebze, Kocaeli (Ýzmit)";"Kocaeli";"Ýzmit"
"34416074010";"Nalan";"Tekin";"(0545)-2151679";"nalant0@hotmail.com";"Kubilay Cd. No:78, Topselvi, 34873 Kartal/Ýstanbul";"Istanbul";"Kartal"
"35625236350";"Samet";"Satýlmýþ";"(0553)-2353856";"samet@hotmail.com";"Köþkler Yaný G1 Sk. No:15, Tarabya, 34457 Sarýyer/Ýstanbul";"Istanbul";"Sarýyer"
"35942947946";"Ali";"Güntan";"(0553)-2951213";"ali@gmail.com";"Beylikkent Sitesi, Cumhuriyet, 34515 Esenyurt/Ýstanbul";"Istanbul";"Esenyurt"
"36459619586";"Kemal";"Keski";"(0547)-9800650";"kemal@gmail.com";"Halkalý Cd. 130-132, Mahmutbey, 34218 Baðcýlar/Ýstanbul";"Istanbul";"Baðcýlar"
"38099947920";"Emir";"Sarrafoðlu";"(0542)-2753539";"sarraf@hotmail.com";"Siyavuþ Paþa Sk No:7, Cumhuriyet Mh., 34520 Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"39375686816";"Ferit";"Davul";"(0539)-0084560";"ferit@gmail.com";"Anadolu Yakasý, Velibaba, 34896 Pendik/Ýstanbul";"Istanbul";"Pendik"
"39416734940";"Rüzgar";"Cem";"(0555)-5012415";"ruzgar@hotmail.com";"Þirin Elektrik, Cumhuriyet Mah. Ata Center Bloklarý No:14, Beylikdüzü, Ýstanbul";"Istanbul";"Beylikdüzü"
"39676611166";"Gökhan";"Saffet";"(0587)-2311821";"gokhan@gmail.com";"Arafat Sk. 4b, Kurtköy, 34912 Pendik/Ýstanbul";"Istanbul";"Pendik"
"40437026624";"Mehtap";"Pirse";"(0555)-0900123";"mehtappirse@gmail.com";"Cengiz Topel Cd. 18-22, Etiler, 34337 Beþiktaþ/Ýstanbul";"Istanbul";"Beþiktaþ"
"42809282690";"Mert";"Yatkýn";"(0549)-6657493";"mertyatkýn@gmail.com";"Avrupa Yakasý, Cumhuriyet, 34100 Esenyurt/Ýstanbul";"Istanbul";"Esenyurt"
"44550111618";"Ýpek";"Sel";"(0505)-7317841";"ipeksel@gmail.com";"Siyavuþ Paþa Sk No:5, Cumhuriyet Mh., 34520 Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"44609391916";"Samet";"Mala";"(0543)-6826176";"sametmala@gmail.com";"Cami Sk. 163-133, Mustafa Kemal Paþa, 34320 Avcýlar/Ýstanbul";"Istanbul";"Avcýlar"
"44719755158";"Emir";"Kozcuoðlu";"(0508)-4511840";"emirkooz@hotmail.com.tr";"Mimar Sinan Cd. 65-63, Güzelyurt, 345";"Istanbul";"Güzelyurt"
"47980628060";"Mehmet Ali";"Þiþ";"(0557)-9854362";"mehmetali@gmail.com";"Aþkýn Nakliyat, Evka 3, 113. Sk. 2 A, 35050 Bornova/Ýzmir";"Ýzmir";"Bornova"
"48273549338";"Gürkan";"Demirbaþ";"(0552)-6772810";"gurkan@gmail.com";"Mehter Sk., Ýstinye, 34460 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"49017451214";"orhan";"Kelek";"(0578)-2389730";"orhan@hotmail.com.tr";"Baðlýca Blv., Baðlýca, 06790 Etimesgut/Ankara";"Ankara";"Etimesgut"
"49184534604";"Serra";"Sakkent";"(0532)-4568732";"serrasakkent@hotmail.com.tr";"Þeyh Çelebi Mezarlýk Sk. 10-18, Yancýkçý Þahin, 22030 Edirne Merkez/Edirne";"Edirne";"Merkez"
"51071127622";"Sait Faik";"Abasýyanýk";"(0585)-9884032";"saitfaik@gmail.com";"Florya Cd. 38-48, Þenlikköy, 34153 Bakýrköy/Ýstanbul";"Ýstanbul";"Bakýrköy"
"51184083594";"Ahmet Temel";"Tek";"(0506)-0689739";"temel@hotmail.com.tr";"Abdullahaða Cd., Beylerbeyi, 34676 Üsküdar/Ýstanbul";"Ýstanbul";"Üsküdar"
"51580079870";"Faruk";"Seffetgiller";"(0547)-4355219";"farukk@gmail.com";"370. Sk. 2-32, Ýnönü, 34510 Beylikdüzü Osb/Esenyurt/Ýstanbul";"Ýstanbul";"Esenyurt"
"52225257202";"Rýza";"Yelkenli";"(0597)-6554678";"rýzaa@gmail.com";"Ýskender, Edirne Merkez/Edirne";"Edirne";"Merkez"
"54036229034";"Nermin";"Þiþkin";"(0587)-7688940";"nerminn@hotmail.com";"Barbaros Hayrettin Cd. No:15, Burgazadasý, 34975 Adalar/Ýstanbul";"Ýstanbul";"Adalar"
"54794556038";"Talat";"Hakkýoðlu";"(0538)-9054324";"talathakkýoglu@gmail.com";"Suryapý Dora Yapý, Saray, 34768 Ümraniye/Ýstanbul";"Ýstanbul";"Ümraniye"
"56048359662";"Hikmet";"Hater";"(0554)-6788905";"hikmethater@gmail.com";"Ahmet Çalýþkan Cd., Koca Sinan, 22030 Edirne Merkez/Edirne";"Edirne";"Merkez"
"57008697596";"Oðuzhan";"Omuz";"(0541)-4446790";"oguzhan@gmail.com";"Öz Topuz Cd. 23D, Ulus, 34340 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"58375489920";"Serkan";"Demet";"(0505)-7859940";"serkandemet@hotmail.com.tr";"Balta Limaný Hisar Cd., Rumeli Hisarý, 34470 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"58925384880";"Enes";"Demir";"(0555)-3988594";"enesdemir@hotmail.com.tr";"USTASINDAN KASAP IZGARA, Hamidiye, Girne Cad. no 8/A, 34408 Kâðýthane/Ýstanbul";"Ýstanbul";"Kaðýthane"
"61407576130";"Pelin";"Baynazoðlu";"(0545)-2037032";"pelin035@gmail.com";"Albayrak Cami, Güzelyurt, 19. Sk. No:2, 34515 Beylikdüzü Osb/Esenyurt/Ýstanbul";"Ýstanbul";"Esenyurt"
"61481495648";"Kenan";"Jemin";"(0505)-5054533";"kenan@gmail.com";"Süleyman Yuðnak Sk. 16, Þükrüpaþa, 22030 Edirne Merkez/Edirne";"Edirne";"Merkez"
"63172355620";"Þeref";"Sessiz";"(0578)-0034755";"seref@gmail.com";"Kadýyoran Cd. 38-50, Büyükada-nizam, 34970 Adalar/Ýstanbul";"Ýstanbul";"Adalar"
"64806731780";"Pelin";"Orak";"(0541)-2229163";"pelirin55@hotmail.com";"Ahmet Adnan Saygun Cd. 56 F, Ulus, 34340 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"66737401374";"Vehbi";"Ülke";"(0555)-0987421";"vehbiulke@hotmail.com.tr";"Gümüþ Sk., Cumhuriyet, 34457 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"67506672650";"Koray";"Dað";"(0530)-9624300";"korayy@gmail.com";"Baþakçý Sk., Çýnar, 34841 Maltepe/Ýstanbul";"Ýstanbul";"Maltepe"
"70139247812";"Burhan";"Altýn";"(0535)-9008535";"burhan@hotmail.com.tr";"Egemenlik Cd. 4-14, Barýþ, 34520 Beylikdüzü Osb/Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"72965017782";"Ahmet";"Kalem";"(0551)-6551051";"ahmet01@hotmail.com";"Mirelli's Jardin, Uskumruköy, No:5 Uskumruköy Mah., 1. CD Cad, 34450 Sarýyer/Ýstanbul";"Istanbul";"Sarýyer"
"73658464036";"Ali";"Rahmet";"(0578)-8763212";"ali35@gmail.com";"Cengiz Han Cd 47 C, Evka 3, 35050 Bornova/Ýzmir";"Ýzmir";"Bornova"
"74057246094";"Ceyda";"Kasabalý";"(0553)-2256118";"ceyda22@hotmail.com";"TEM Yanyolu, Sanayi, 34538 Esenyurt/Ýstanbul";"Istanbul";"Esenyurt"
"74469020596";"Burak";"Aldanoðlu";"(0531)-4563673";"burakaldanoglu@hotmail.com.tr";"Köþkler Yaný G1 Sk. No:15, Tarabya, 34457 Sarýyer/Ýstanbul";"Istanbul";"Sarýyer"
"74636359788";"Reþat Nuri";"Güntekin";"(0585)-8939902";"resatnuri@gmail.com";"Ihlamurdere Cd. 134-162, Türkali, 34357 Beþiktaþ/Ýstanbul";"Istanbul";"Beþiktaþ"
"74974057834";"Handan";"Ýlet";"(0531)-4230111";"handan@hotmail.com";"Bedri Rahmi Eyüboðlu Sk. No:16, Fenerbahçe, 34726 Kadýköy/Ýstanbul";"Istanbul";"Kadýköy"
"77062630056";"Adnan";"Yörük";"(0505)-4532778";"adnan@hotmail.com";"Yakuplu, 34524 Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"77212405008";"Emir";"Fal";"(0531)-5426966";"emir@hotmail.com.tr";"Orkide 2 Sokaðý 27-1, Siyavuþpaþa, 34182 Bahçelievler/Ýstanbul";"Istanbul";"Bahçelievler"
"77796001030";"Hale";"Cemir";"(0598)-8700021";"halecemir@gmail.com";"Cevdet Paþa Cd. No:69, Bebek, 34342 Beþiktaþ/Ýstanbul";"Istanbul";"Beþiktaþ"
"78122839044";"Muhammed";"Alken";"(0548)-8990422";"muhammedalken@gmail.com";"Sarý Gül Sk. No:10, Caddebostan, 34728 Kadýköy/Ýstanbul";"Istanbul";"Kadýköy"
"78632184368";"Hayri";"Necdet";"(0541)-9998454";"hayrii@gmail.com";"Rüstem Balkan Sk. 39-1, Çýrpýcý, 34025 Zeytinburnu/Ýstanbul";"Istanbul";"Zeytinburnu"
"78741290592";"Hande";"Gezgin";"(0555)-3813910";"hande51@gmail.com";"Bizimkent Veteriner Kliniði, Cumhuriyet Mahallesi Bizimkent Sit. D:12 Blok Altý Eczane Bitiþiði No: 4V3, 34520 Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"79234917866";"Karamel";"Kara";"(0535)-4180031";"karamkara@gmail.com";"Mucit Sk. No:1, Haseki Sultan, 34096 Fatih/Ýstanbul";"Istanbul";"Fatih"
"79757598726";"Nebahat";"Çehre";"(0551)-2455738";"nebah211@hotmail.com";"Avrupa Yakasý, Cumhuriyet, 34100 Beylikdüzü/Ýstanbul";"Istanbul";"Beylikdüzü"
"79858419180";"Melahat Aslý";"Çan";"(0541)-2344327";"aslým@gmail.com";"Derviþ Evleri, Beþevler, Güler Sk., 16110 Nilüfer/Bursa";"Bursa";"Nilüfer"
"80227794616";"Kerim";"Okan";"(0568)-2346547";"kerimm@gmail.com";"Þükraniye, 16450 Kestel/Bursa";"Bursa";"Kestel"
"82090409888";"Selda";"Kerim";"(0534)-1233214";"selda@gmail.com";"Ümitli Sk. No:16, Demirci, 16159 Nilüfer/Bursa";"Bursa";"Nilüfer"
"82615535566";"Muzaffer";"Pakke";"(0545)-0981202";"muzafferpakke@hotmail.com.tr";"Yelken Sk No:10, Ulus, 34340 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"82685875166";"Fetih";"Þifa";"(0555)-6788900";"fetihsifa@hotmail.com.tr";"Ayia Kiriaki Ayazmasý, Ferahevler, 34457 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"82855878898";"Fatih";"Devran";"(0544)-3452386";"fatih@gmail.com";"30/14. Sk. 21-1, Yýldýztepe, 34203 Baðcýlar/Ýstanbul";"Ýstanbul";"Baðcýlar"
"84962590564";"Osman";"Seftan";"(0531)-7890121";"osmanseftan@gmail.com";"Akyol Sk. 24-36, Cihangir, 34433 Beyoðlu/Ýstanbul";"Ýstanbul";"Beyoðlu"
"85174528246";"Jabaðý";"Ratemoðlu";"(0501)-5980140";"ratemoglu@hotmail.com.tr";"Avrupa Yakasý, Cumhuriyet, 34100 Esenyurt/Ýstanbul";"Ýstanbul";"Esenyurt"
"86616707786";"Cemal";"Süreya";"(0548)-0092120";"cemall@gmail.com";"Yolat Spor, Ýsmetpaþa, 53. Sk. 22/A, 34440 Sultangazi/Ýstanbul";"Ýstanbul";"Sultangazi"
"88406144016";"Seda";"Bakan";"(0542)-6010591";"bakan@hotmail.com.tr";"Çayýrlar Cd. No:114, Çavuþ, 34980 Þile/Ýstanbul";"Ýstanbul";"Þile"
"88453947042";"Lale";"Ahse";"(0567)-3444578";"laleahse@hotmail.com.tr";"Melodi Davet, Abide-i Hürriyet Cd Numara:50, Nakiye Elgün Sk., 34380 Þiþli";"Ýstanbul";"Þile"
"90354107548";"Atlas";"Cem";"(0505)-1281732";"atlas@hotmail.com";"Anadolu Yakasý, Bostancý, 34744 Kadýköy/Ýstanbul";"Ýstanbul";"Kadýköy"
"91247047712";"Kenan";"Ýmam";"(0538)-8211860";"kenannn@hotmail.com.tr";"Ýbrahim Eroðlu Microsoft’ta çalýþmak istiyor, Bellevue Residences Levent MahallesiAydýn Sokak No:7 Levent, 34340";"Ýstanbul";"Levent"
"92672901488";"Alp";"Akdeniz";"(0542)-9908754";"alpakdeniz@hotmail.com.tr";"Eski Devlet Yolu Cd., Aziziye, 81010 Düzce Merkez/Düzce";"Düzce";"Merkez"
"94080091584";"Can";"Gerekoðlu";"(0554)-4322211";"cangerekoglu@gmail.com";"Þükrüpaþa, 22030 Edirne Merkez/Edirne";"Edirne";"Merkez"
"94793760746";"Remzi";"Tekil";"(0537)-5558313";"remzi@gmail.com";"Islambey Cad., Ýslambey, 34050 Eyüpsultan/Ýstanbul";"Ýstanbul";"Eyüpsultan"
"94846659966";"Poyraz";"Rüzgar";"(0535)-7458714";"poyraz@gmail.com";"Aðlayan Kaya Cd 60-62, Balibey, 34980 Þile/Ýstanbul";"Ýstanbul";"Þile"
"95385659370";"Serap";"Laleliler";"(0531)-5647894";"serap@hotmail.com";"Yeþilyol F Ara Sk. 4-16, Çýrpýcý, 34025 Zeytinburnu/Ýstanbul";"Ýstanbul";"Zeytinburnu"
"96077540716";"Aslý ";"Sütçüoðlu";"(0531)-3238643";"aslýsutcuoglu@gmail.com";"Cumhuriyet Cd. 2-10, Muratpaþa, 34040 Bayrampaþa/Ýstanbul";"Ýstanbul";"Bayrampaþa"
"97171875476";"Ahmet";"Karayel";"(0531)-3091041";"ahmet@gmail.com";"aloratemizlik, Ortabayýr, Çakmak Cd. no:4, 34410 Kâðýthane/Ýstanbul";"Ýstanbul";"Kaðýthane"
"97709478438";"Mehtap";"Sera";"(0567)-9873423";"methapp@hotmail.com.tr";"Prof. Muammer Aksoy Cd No:33, Bahçelievler, 06490 Çankaya/Ankara";"Ankara";"Çankaya"
"98806969904";"Þermin";"Döner";"(0555)-0947532";"sermin@hotmail.com.tr";"Ahmet Adnan Saygun Cd., Kuruçeþme, 34340 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"99502014516";"Yusuf";"Hakkýn";"(0548)-8990432";"yusufhakkýn@gmail.com";"Akdemir Sk. No:40, Maden, 34450 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
